Nome
"Nahiri, Forged in Fury"
Samurai's Katana
Machinist's Arsenal
Dragoon's Lance
Dancer's Chakrams
"Firion, Wild Rose Warrior"
Bladehold War-Whip
Puresteel Paladin
Nettlecyst
"Akiri, Fearless Voyager"
Kaldra Compleat
"Sram, Senior Edificer"
Hexplate Wallbreaker
Bruenor Battlehammer
Glimmer Lens
Forge Anew
Swiftfoot Boots
Swords to Plowshares
Sigarda's Aid
"Astor, Bearer of Blades"
Bloodforged Battle-Axe
Lizard Blades
Sword of the Animist
"Reyav, Master Smith"
"Jor Kadeen, First Goldwarden"
Masterwork of Ingenuity
Enlightened Tutor
Teferi's Protection
Smothering Tithe
Jeska's Will
Deflecting Swat
Ancient Tomb
"Danitha Capashen, Paragon"
Lion Sash
Rabbit Battery
"Ardenn, Intrepid Archaeologist"
Stoneforge Mystic
"Kellan, the Fae-Blooded"
"Halvar, God of Battle"
Bureau Headmaster
Cloudsteel Kirin
Komainu Battle Armor
Armored Skyhunter
"Wyleth, Soul of Steel"
"Codsworth, Handy Helper"
"Koll, the Forgemaster"
Stone Haven Outfitter
Bladegraft Aspirant
"Cloud, Midgar Mercenary"
Esper Sentinel
Akki Battle Squad
"Danitha, Benalia's Hope"
"Eivor, Battle-Ready"
Stonehewer Giant
Freya Crescent
"Aurelia, the Warleader"
Fervent Champion
"Gilgamesh, Master-at-Arms"
"Éowyn, Lady of Rohan"
"Balan, Wandering Knight"
Leonin Shikari
Armory Paladin
"Godo, Bandit Warlord"
Brass Squire
"Kemba, Kha Regent"
"Kemba, Kha Enduring"
"Merry, Esquire of Rohan"
"Zirda, the Dawnwaker"
"Tiana, Ship's Caretaker"
"Zamriel, Seraph of Steel"
Knight of the White Orchid
Ogre-Head Helm
"Valduk, Keeper of the Flame"
"Kassandra, Eagle Bearer"
"Neyali, Suns' Vanguard"
Foundry Inspector
Sun Titan
"Frodo, Determined Hero"
Witch Enchanter
Adelbert Steiner
"Raubahn, Bull of Ala Mhigo"
Commander Liara Portyr
Boros Charm
Path to Exile
Generous Gift
Dispatch
Inventory Management
Chaos Warp
Wear // Tear
Legion Leadership
Resistance Reunited
Stroke of Midnight
Flawless Maneuver
Rebel Salvo
Akroma's Will
Battlefield Improvisation
Dawn's Truce
Deflecting Palm
Clever Concealment
Unbreakable Formation
Sejiri Shelter
Thrill of Possibility
Abrade
Untimely Malfunction
Kabira Takedown
Valakut Awakening
Disenchant
Goldwardens' Gambit
Steelshaper's Gift
Open the Armory
Blasphemous Act
Austere Command
Reckless Crew
Unfinished Business
Brilliant Restoration
Single Combat
Farewell
Reckless Handling
Vandalblast
Rip Apart
Sevinne's Reclamation
Hour of Reckoning
Wrath of God
Response // Resurgence
Sundering Eruption
Vanquish the Horde
Faithless Looting
"Bitterthorn, Nissa's Animus"
Hexgold Halberd
Hammer of Nazahn
Batterskull
Colossus Hammer
Embercleave
Dragonwing Glider
Maul of the Skyclaves
Hexgold Hoverwings
Citizen's Crowbar
Kemba's Banner
Batterbone
Blackblade Reforged
Shadowspear
Diamond Pick-Axe
Sword of Feast and Famine
Lightning Greaves
The Reaver Cleaver
Argentum Armor
Mandibular Kite
Mithril Coat
Beamtown Beatstick
Sunforger
"Excalibur, Sword of Eden"
Basilisk Collar
Thran Power Suit
Sword of Hearth and Home
Leyline Axe
Sword of Forge and Frontier
Flayer Husk
Barbed Batterfist
Scytheclaw
Mask of Memory
Celestial Armor
Sword of Fire and Ice
Loxodon Warhammer
Buster Sword
Barbed Spike
Cori-Steel Cutter
Ancestral Blade
Helm of the Host
Paladin's Arms
Red Mage's Rapier
Sword of Vengeance
Commander's Plate
White Mage's Staff
Mirran Bardiche
Bonehoard
Warrior's Sword
"Caduceus, Staff of Hermes"
Fighter Class
Nahiri's Resolve
Blacksmith's Talent
Mantle of the Ancients
Forging the Tyrite Sword
All That Glitters
Land Tax
Windcrag Siege
"Nahiri, Heir of the Ancients"
"Nahiri, the Lithomancer"
"Nahiri, Storm of Stone"
"Nahiri, the Unforgiving"
"Nahiri, the Harbinger"
Rogue's Passage
Buried Ruin
Axgard Armory
Slayers' Stronghold
"Sunhome, Fortress of the Legion"
Inventors' Fair
Monumental Henge
Minas Tirith
Great Furnace
Ancient Den
Urza's Saga
"Eiganjo, Seat of the Empire"
Reliquary Tower
"Sokenzan, Crucible of Defiance"
Castle Ardenvale
Arena of Glory
Restless Bivouac
Temple of the False God
War Room
Castle Embereth
Windbrisk Heights
Needle Spires
Darksteel Citadel
"Ishgard, the Holy See"
Sol Ring
Arcane Signet
Boros Signet
Talisman of Conviction
Mind Stone
Fellwar Stone
The Irencrag
The Aetherspark
Commander's Sphere
Paradise Mantle
Thought Vessel
Mox Opal
Mountain
Plains
Command Tower
Clifftop Retreat
Battlefield Forge
Furycalm Snarl
Temple of Triumph
Spectator Seating
Sacred Foundry
Boros Garrison
Sundown Pass
Rugged Prairie
Needleverge Pathway
Arid Mesa
Exotic Orchard
Myriad Landscape
Evolving Wilds
Elegant Parlor
Sunbillow Verge
Legion Leadership
Spire of Industry
Sacred Peaks
Wind-Scarred Crag
Sunbaked Canyon
Rustvale Bridge
Inspiring Vantage
Sunscorched Divide
The Mycosynth Gardens
Terramorphic Expanse
Alpine Meadow
Path of Ancestry
Plateau
Fabled Passage
Witch Enchanter
Sejiri Shelter
Boros Guildgate
Sundering Eruption
Plaza of Heroes
Prismatic Vista
Kabira Takedown
Valakut Awakening
Marsh Flats
