Nome
Amalia Benavides Aguirre
"Haliya, Guided by Light"
Excalibur II
Aerith Gainsborough
Adventurer's Inn
The Wind Crystal
Soul Warden
Soul's Attendant
"Daxos, Blessed by the Sun"
Lunarch Veteran
Suture Priest
Case of the Uneaten Feast
Authority of the Consuls
Guide of Souls
Ascend from Avernus
"Elas il-Kor, Sadistic Pilgrim"
Swords to Plowshares
Blood Artist
Cruel Celebrant
Path to Exile
Starscape Cleric
Blind Obedience
Zulaport Cutthroat
Karlov of the Ghost Council
Auriok Champion
"Vito, Thorn of the Dusk Rose"
Bolas's Citadel
Teferi's Protection
Demonic Tutor
Smothering Tithe
Vampiric Tutor
Enlightened Tutor
Orcish Bowmasters
Necropotence
The One Ring
Spectrum Sentinel
Marauding Blight-Priest
Hinterland Sanctifier
Elenda's Hierophant
"Kambal, Consul of Allocation"
Selfless Spirit
Voice of the Blessed
Lurrus of the Dream-Den
"Lotho, Corrupt Shirriff"
Sorin of House Markov
Lifecreed Duo
Essence Channeler
Archivist of Oghma
Charismatic Conqueror
Serra Ascendant
Mother of Runes
Impassioned Orator
Viscera Seer
Esper Sentinel
Deathgreeter
Leonin Elder
Distinguished Conjurer
Exemplar of Light
Bartolomé del Presidio
"Heliod, Sun-Crowned"
Welcoming Vampire
"Ayli, Eternal Pilgrim"
Cathar Commando
Enduring Tenacity
Alseid of Life's Bounty
"Elenda, the Dusk Rose"
Tithe Drinker
Creeping Bloodsucker
Vizkopa Guildmage
Dark Confidant
Sunscorch Regent
Bloodthirsty Conqueror
Ocelot Pride
Ruin-Lurker Bat
Twilight Prophet
Cliffhaven Vampire
"Elenda, Saint of Dusk"
The Gaffer
Enduring Innocence
Ajani's Pridemate
Drana's Emissary
"Carmen, Cruel Skymarcher"
Priest of Fell Rites
Speaker of the Heavens
"Celestine, the Living Saint"
Anguished Unmaking
Generous Gift
Despark
Stroke of Midnight
Village Rites
Flawless Maneuver
Mortify
Flare of Fortitude
Dark Ritual
Fracture
Deadly Dispute
Fell the Profane
Rally the Ancestors
Malakir Rebirth
Reprieve
Deadly Rollick
Get Lost
Inkshield
Unbreakable Formation
Dawn's Truce
Corrupted Conviction
Heliod's Intervention
Utter End
Bitter Triumph
Sejiri Shelter
Infernal Grasp
Revitalize
Restoration Magic
Akroma's Will
Razorgrass Ambush
Your Temple Is Under Attack
Plumb the Forbidden
Return to Dust
Raise the Past
Damn
Sevinne's Reclamation
Austere Command
Unearth
Reanimate
Dewdrop Cure
Sign in Blood
Toxic Deluge
Return to the Ranks
Night's Whisper
Exsanguinate
Patch Up
Command the Dreadhorde
Dusk // Dawn
Victimize
Immortal Servitude
Helping Hand
Read the Bones
Agadeem's Awakening
Living Death
Rite of Oblivion
Vindicate
Fumigate
Debt to the Deathless
Feed the Swarm
Revival // Revenge
Storm of Souls
Farewell
Dread Return
Call of the Death-Dweller
Lively Dirge
Diabolic Intent
Kaya's Wrath
Unburial Rites
Insatiable Avarice
Swiftfoot Boots
Skullclamp
Aetherflux Reservoir
Lightning Greaves
Well of Lost Dreams
Shadowspear
Fountain of Renewal
Wayfarer's Bauble
Blade of the Bloodchief
Tablet of the Guilds
Profane Memento
Sun Droplet
Bontu's Monument
Cosmos Elixir
Angel's Feather
Tithing Blade
